id_kls,id_reg_pd,nilai_angka,nilai_huruf,nilai_indeks
1001141,20141001,,,
1001141,20141002,,,
1001141,20141003,,,
1001141,20141004,,,
1001141,20141005,,,
1001141,20141006,,,
1001141,20141007,,,
1001141,20141008,,,
1001141,20141009,,,
1001141,20141010,,,
1001141,20141011,,,
1001141,20141012,,,
1001141,20141013,,,
1001141,20141014,,,
1001141,20141015,,,
1001141,20141016,,,
1001141,20141017,,,
1001141,20141018,,,
1001141,20141019,,,
1001141,20141020,,,
1001141,20141021,,,
1001141,20141022,,,
1001141,20141023,,,
1001141,20141024,,,
1001141,20141025,,,
1001141,20141026,,,
1001141,20141027,,,
1001141,20141028,,,
1001141,20141029,,,
1001141,20141030,,,
1001141,20141031,,,
1001141,20141032,,,
1001141,20141033,,,
1001141,20141034,,,
1001141,20141035,,,
1001141,20141036,,,
1001141,20141037,,,
1001141,20141038,,,
1001141,20141039,,,
1001141,20141040,,,
1001141,20141041,,,
1001141,20141042,,,
1001141,20141043,,,
1001141,20141044,,,
1001141,20141045,,,
1001141,20141046,,,
1001141,20141047,,,
1001141,20141048,,,
1001141,20141049,,,
1001141,20141050,,,
1001141,20141051,,,
1001141,20141052,,,
1002141,20141001,,,
1002141,20141002,,,
1002141,20141003,,,
1002141,20141004,,,
1002141,20141005,,,
1002141,20141006,,,
1002141,20141007,,,
1002141,20141008,,,
1002141,20141009,,,
1002141,20141010,,,
1002141,20141011,,,
1002141,20141012,,,
1002141,20141013,,,
1002141,20141014,,,
1002141,20141015,,,
1002141,20141016,,,
1002141,20141017,,,
1002141,20141018,,,
1002141,20141019,,,
1002141,20141020,,,
1002141,20141021,,,
1002141,20141022,,,
1002141,20141023,,,
1002141,20141024,,,
1002141,20141025,,,
1002141,20141026,,,
1002141,20141027,,,
1002141,20141028,,,
1002141,20141029,,,
1002141,20141030,,,
1002141,20141031,,,
1002141,20141032,,,
1002141,20141033,,,
1002141,20141034,,,
1002141,20141035,,,
1002141,20141036,,,
1002141,20141037,,,
1002141,20141038,,,
1002141,20141039,,,
1002141,20141040,,,
1002141,20141041,,,
1002141,20141042,,,
1002141,20141043,,,
1002141,20141044,,,
1002141,20141045,,,
1002141,20141046,,,
1002141,20141047,,,
1002141,20141048,,,
1002141,20141049,,,
1002141,20141050,,,
1002141,20141051,,,
1002141,20141052,,,
1003141,20141001,,,
1003141,20141002,,,
1003141,20141003,,,
1003141,20141004,,,
1003141,20141005,,,
1003141,20141006,,,
1003141,20141007,,,
1003141,20141008,,,
1003141,20141009,,,
1003141,20141010,,,
1003141,20141011,,,
1003141,20141012,,,
1003141,20141013,,,
1003141,20141014,,,
1003141,20141015,,,
1003141,20141016,,,
1003141,20141017,,,
1003141,20141018,,,
1003141,20141019,,,
1003141,20141020,,,
1003141,20141021,,,
1003141,20141022,,,
1003141,20141023,,,
1003141,20141024,,,
1003141,20141025,,,
1003141,20141026,,,
1003141,20141027,,,
1003141,20141028,,,
1003141,20141029,,,
1003141,20141030,,,
1003141,20141031,,,
1003141,20141032,,,
1003141,20141033,,,
1003141,20141034,,,
1003141,20141035,,,
1003141,20141036,,,
1003141,20141037,,,
1003141,20141038,,,
1003141,20141039,,,
1003141,20141040,,,
1003141,20141041,,,
1003141,20141042,,,
1003141,20141043,,,
1003141,20141044,,,
1003141,20141045,,,
1003141,20141046,,,
1003141,20141047,,,
1003141,20141048,,,
1003141,20141049,,,
1003141,20141050,,,
1003141,20141051,,,
1003141,20141052,,,
1004141,20141001,,,
1004141,20141002,,,
1004141,20141003,,,
1004141,20141004,,,
1004141,20141005,,,
1004141,20141006,,,
1004141,20141007,,,
1004141,20141008,,,
1004141,20141009,,,
1004141,20141010,,,
1004141,20141011,,,
1004141,20141012,,,
1004141,20141013,,,
1004141,20141014,,,
1004141,20141015,,,
1004141,20141016,,,
1004141,20141017,,,
1004141,20141018,,,
1004141,20141019,,,
1004141,20141020,,,
1004141,20141021,,,
1004141,20141022,,,
1004141,20141023,,,
1004141,20141024,,,
1004141,20141025,,,
1004141,20141026,,,
1004141,20141027,,,
1004141,20141028,,,
1004141,20141029,,,
1004141,20141030,,,
1004141,20141031,,,
1004141,20141032,,,
1004141,20141033,,,
1004141,20141034,,,
1004141,20141035,,,
1004141,20141036,,,
1004141,20141037,,,
1004141,20141038,,,
1004141,20141039,,,
1004141,20141040,,,
1004141,20141041,,,
1004141,20141042,,,
1004141,20141043,,,
1004141,20141044,,,
1004141,20141045,,,
1004141,20141046,,,
1004141,20141047,,,
1004141,20141048,,,
1004141,20141049,,,
1004141,20141050,,,
1004141,20141051,,,
1004141,20141052,,,
1005141,20141001,,,
1005141,20141002,,,
1005141,20141003,,,
1005141,20141004,,,
1005141,20141005,,,
1005141,20141006,,,
1005141,20141007,,,
1005141,20141008,,,
1005141,20141009,,,
1005141,20141010,,,
1005141,20141011,,,
1005141,20141012,,,
1005141,20141013,,,
1005141,20141014,,,
1005141,20141015,,,
1005141,20141016,,,
1005141,20141017,,,
1005141,20141018,,,
1005141,20141019,,,
1005141,20141020,,,
1005141,20141021,,,
1005141,20141022,,,
1005141,20141023,,,
1005141,20141024,,,
1005141,20141025,,,
1005141,20141026,,,
1005141,20141027,,,
1005141,20141028,,,
1005141,20141029,,,
1005141,20141030,,,
1005141,20141031,,,
1005141,20141032,,,
1005141,20141033,,,
1005141,20141034,,,
1005141,20141035,,,
1005141,20141036,,,
1005141,20141037,,,
1005141,20141038,,,
1005141,20141039,,,
1005141,20141040,,,
1005141,20141041,,,
1005141,20141042,,,
1005141,20141043,,,
1005141,20141044,,,
1005141,20141045,,,
1005141,20141046,,,
1005141,20141047,,,
1005141,20141048,,,
1005141,20141049,,,
1005141,20141050,,,
1005141,20141051,,,
1005141,20141052,,,
1006141,20141001,,,
1006141,20141002,,,
1006141,20141003,,,
1006141,20141004,,,
1006141,20141005,,,
1006141,20141006,,,
1006141,20141007,,,
1006141,20141008,,,
1006141,20141009,,,
1006141,20141010,,,
1006141,20141011,,,
1006141,20141012,,,
1006141,20141013,,,
1006141,20141014,,,
1006141,20141015,,,
1006141,20141016,,,
1006141,20141017,,,
1006141,20141018,,,
1006141,20141019,,,
1006141,20141020,,,
1006141,20141021,,,
1006141,20141022,,,
1006141,20141023,,,
1006141,20141024,,,
1006141,20141025,,,
1006141,20141026,,,
1006141,20141027,,,
1006141,20141028,,,
1006141,20141029,,,
1006141,20141030,,,
1006141,20141031,,,
1006141,20141032,,,
1006141,20141033,,,
1006141,20141034,,,
1006141,20141035,,,
1006141,20141036,,,
1006141,20141037,,,
