id_reg_pt,id_kls,nilai_angka,nilai_huruf,nilai_indeks
4001141,20141152,98,A,4
4001141,20141153,52,C,2
4001141,20141154,43,D,1
4001141,20141155,90,A,4
4001141,20141156,72,AB,3.5
4001141,20141157,88,A,4
4001141,20141158,83,A,4
4001141,20141159,90,A,4
4001141,20141160,51,C,2
4001141,20141161,75,AB,3.5
4001141,20141162,72,AB,3.5
4001141,20141163,67,B,3
4001141,20141164,48,D,1
4001141,20141165,57,C,2
4001141,20141166,55,C,2
4001141,20141167,79,AB,3.5
4001141,20141168,91,A,4
4001141,20141169,78,AB,3.5
4001141,20141170,62,BC,2.5
4001141,20141171,93,A,4
4001141,20141172,63,BC,2.5
4001141,20141173,87,A,4
4001141,20141174,70,B,3
4001141,20141175,80,A,4
4001141,20141176,91,A,4
4001141,20141177,98,A,4
4001141,20141178,76,AB,3.5
4001141,20141179,69,B,3
4001141,20141180,82,A,4
4001141,20141181,80,A,4
4001141,20141182,68,B,3
4001141,20141183,79,AB,3.5
4001141,20141184,48,D,1
4001141,20141185,93,A,4
4001141,20141186,55,C,2
4001141,20141187,73,AB,3.5
4001141,20141188,91,A,4
4001141,20141189,43,D,1
4001141,20141190,62,BC,2.5
4001141,20141191,63,BC,2.5
4001141,20141192,65,B,3
4001141,20141193,66,B,3
4001141,20141194,47,D,1
4001141,20141195,89,A,4
4001141,20141196,92,A,4
4001141,20141197,68,B,3
4001141,20141198,60,BC,2.5
4001141,20141199,85,A,4
4001141,20141200,93,A,4
4002141,20141152,45,D,1
4002141,20141153,82,A,4
4002141,20141154,49,D,1
4002141,20141155,58,BC,2.5
4002141,20141156,49,D,1
4002141,20141157,60,BC,2.5
4002141,20141158,44,D,1
4002141,20141159,94,A,4
4002141,20141160,77,AB,3.5
4002141,20141161,88,A,4
4002141,20141162,61,BC,2.5
4002141,20141163,90,A,4
4002141,20141164,50,C,2
4002141,20141165,65,B,3
4002141,20141166,48,D,1
4002141,20141167,53,C,2
4002141,20141168,96,A,4
4002141,20141169,42,D,1
4002141,20141170,94,A,4
4002141,20141171,91,A,4
4002141,20141172,78,AB,3.5
4002141,20141173,94,A,4
4002141,20141174,51,C,2
4002141,20141175,75,AB,3.5
4002141,20141176,58,BC,2.5
4002141,20141177,44,D,1
4002141,20141178,50,C,2
4002141,20141179,86,A,4
4002141,20141180,88,A,4
4002141,20141181,84,A,4
4002141,20141182,83,A,4
4002141,20141183,99,A,4
4002141,20141184,50,C,2
4002141,20141185,91,A,4
4002141,20141186,87,A,4
4002141,20141187,57,C,2
4002141,20141188,91,A,4
4002141,20141189,43,D,1
4002141,20141190,97,A,4
4002141,20141191,69,B,3
4002141,20141192,64,BC,2.5
4002141,20141193,71,B,3
4002141,20141194,56,C,2
4002141,20141195,77,AB,3.5
4002141,20141196,94,A,4
4002141,20141197,42,D,1
4002141,20141198,82,A,4
4002141,20141199,93,A,4
4002141,20141200,86,A,4
4003141,20141152,49,D,1
4003141,20141153,91,A,4
4003141,20141154,79,AB,3.5
4003141,20141155,81,A,4
4003141,20141156,66,B,3
4003141,20141157,100,A,4
4003141,20141158,74,AB,3.5
4003141,20141159,83,A,4
4003141,20141160,70,B,3
4003141,20141161,50,C,2
4003141,20141162,86,A,4
4003141,20141163,82,A,4
4003141,20141164,43,D,1
4003141,20141165,42,D,1
4003141,20141166,64,BC,2.5
4003141,20141167,74,AB,3.5
4003141,20141168,90,A,4
4003141,20141169,70,B,3
4003141,20141170,52,C,2
4003141,20141171,97,A,4
4003141,20141172,55,C,2
4003141,20141173,93,A,4
4003141,20141174,42,D,1
4003141,20141175,88,A,4
4003141,20141176,47,D,1
4003141,20141177,43,D,1
4003141,20141178,77,AB,3.5
4003141,20141179,76,AB,3.5
4003141,20141180,45,D,1
4003141,20141181,99,A,4
4003141,20141182,60,BC,2.5
4003141,20141183,86,A,4
4003141,20141184,92,A,4
4003141,20141185,62,BC,2.5
4003141,20141186,99,A,4
4003141,20141187,87,A,4
4003141,20141188,91,A,4
4003141,20141189,81,A,4
4003141,20141190,58,BC,2.5
4003141,20141191,89,A,4
4003141,20141192,54,C,2
4003141,20141193,41,D,1
4003141,20141194,41,D,1
4003141,20141195,78,AB,3.5
4003141,20141196,56,C,2
4003141,20141197,48,D,1
4003141,20141198,72,AB,3.5
4003141,20141199,46,D,1
4003141,20141200,74,AB,3.5
4004141,20141152,75,AB,3.5
4004141,20141153,71,B,3
4004141,20141154,74,AB,3.5
4004141,20141155,59,BC,2.5
4004141,20141156,79,AB,3.5
4004141,20141157,68,B,3
4004141,20141158,57,C,2
4004141,20141159,60,BC,2.5
4004141,20141160,73,AB,3.5
4004141,20141161,43,D,1
4004141,20141162,92,A,4
4004141,20141163,62,BC,2.5
4004141,20141164,42,D,1
4004141,20141165,83,A,4
4004141,20141166,58,BC,2.5
4004141,20141167,94,A,4
4004141,20141168,50,C,2
4004141,20141169,95,A,4
4004141,20141170,78,AB,3.5
4004141,20141171,56,C,2
4004141,20141172,67,B,3
4004141,20141173,84,A,4
4004141,20141174,79,AB,3.5
4004141,20141175,71,B,3
4004141,20141176,56,C,2
4004141,20141177,69,B,3
4004141,20141178,71,B,3
4004141,20141179,48,D,1
4004141,20141180,100,A,4
4004141,20141181,66,B,3
4004141,20141182,87,A,4
4004141,20141183,61,BC,2.5
4004141,20141184,53,C,2
4004141,20141185,58,BC,2.5
4004141,20141186,43,D,1
4004141,20141187,100,A,4
4004141,20141188,64,BC,2.5
4004141,20141189,63,BC,2.5
4004141,20141190,99,A,4
4004141,20141191,91,A,4
4004141,20141192,74,AB,3.5
4004141,20141193,59,BC,2.5
4004141,20141194,89,A,4
4004141,20141195,66,B,3
4004141,20141196,96,A,4
4004141,20141197,48,D,1
4004141,20141198,64,BC,2.5
4004141,20141199,87,A,4
4004141,20141200,95,A,4
4005141,20141152,63,BC,2.5
4005141,20141153,60,BC,2.5
4005141,20141154,82,A,4
4005141,20141155,76,AB,3.5
4005141,20141156,90,A,4
4005141,20141157,50,C,2
4005141,20141158,66,B,3
4005141,20141159,82,A,4
4005141,20141160,71,B,3
4005141,20141161,71,B,3
4005141,20141162,54,C,2
4005141,20141163,79,AB,3.5
4005141,20141164,100,A,4
4005141,20141165,48,D,1
4005141,20141166,51,C,2
4005141,20141167,64,BC,2.5
4005141,20141168,97,A,4
4005141,20141169,60,BC,2.5
4005141,20141170,65,B,3
4005141,20141171,63,BC,2.5
4005141,20141172,87,A,4
4005141,20141173,50,C,2
4005141,20141174,48,D,1
4005141,20141175,59,BC,2.5
4005141,20141176,82,A,4
4005141,20141177,84,A,4
4005141,20141178,69,B,3
4005141,20141179,67,B,3
4005141,20141180,81,A,4
4005141,20141181,89,A,4
4005141,20141182,57,C,2
4005141,20141183,98,A,4
4005141,20141184,80,A,4
4005141,20141185,78,AB,3.5
4005141,20141186,49,D,1
4005141,20141187,47,D,1
4005141,20141188,42,D,1
4005141,20141189,99,A,4
4005141,20141190,54,C,2
4005141,20141191,51,C,2
4005141,20141192,52,C,2
4005141,20141193,60,BC,2.5
4005141,20141194,91,A,4
4005141,20141195,95,A,4
4005141,20141196,61,BC,2.5
4005141,20141197,92,A,4
4005141,20141198,65,B,3
4005141,20141199,88,A,4
4005141,20141200,76,AB,3.5
4006141,20141152,73,AB,3.5
4006141,20141153,99,A,4
4006141,20141154,60,BC,2.5
4006141,20141155,52,C,2
4006141,20141156,61,BC,2.5
4006141,20141157,46,D,1
4006141,20141158,43,D,1
4006141,20141159,50,C,2
4006141,20141160,74,AB,3.5
4006141,20141161,66,B,3
4006141,20141162,66,B,3
4006141,20141163,96,A,4
4006141,20141164,57,C,2
4006141,20141165,41,D,1
4006141,20141166,74,AB,3.5
4006141,20141167,84,A,4
4006141,20141168,96,A,4
4006141,20141169,48,D,1
4006141,20141170,100,A,4
4006141,20141171,46,D,1
4006141,20141172,79,AB,3.5
4006141,20141173,48,D,1
4006141,20141174,64,BC,2.5
4006141,20141175,42,D,1
4006141,20141176,79,AB,3.5
4006141,20141177,83,A,4
4006141,20141178,51,C,2
4006141,20141179,65,B,3
4006141,20141180,98,A,4
4006141,20141181,51,C,2
4006141,20141182,42,D,1
4006141,20141183,55,C,2
4006141,20141184,94,A,4
4006141,20141185,81,A,4
4006141,20141186,55,C,2
4006141,20141187,46,D,1
4006141,20141188,62,BC,2.5
4006141,20141189,70,B,3
4006141,20141190,98,A,4
4006141,20141191,89,A,4
