1001141,20141001,55,C,2
1001141,20141002,68,B,3
1001141,20141003,85,A,4
1001141,20141004,50,C,2
1001141,20141005,79,AB,3.5
1001141,20141006,93,A,4
1001141,20141007,74,AB,3.5
1001141,20141008,45,D,1
1001141,20141009,41,D,1
1001141,20141010,78,AB,3.5
1001141,20141011,66,B,3
1001141,20141012,58,BC,2.5
1001141,20141013,74,AB,3.5
1001141,20141014,57,C,2
1001141,20141015,77,AB,3.5
1001141,20141016,46,D,1
1001141,20141017,78,AB,3.5
1001141,20141018,55,C,2
1001141,20141019,55,C,2
1001141,20141020,100,A,4
1001141,20141021,48,D,1
1001141,20141022,61,BC,2.5
1001141,20141023,43,D,1
1001141,20141024,69,B,3
1001141,20141025,45,D,1
1001141,20141026,64,BC,2.5
1001141,20141027,55,C,2
1001141,20141028,92,A,4
1001141,20141029,81,A,4
1001141,20141030,64,BC,2.5
1001141,20141031,95,A,4
1001141,20141032,93,A,4
1001141,20141033,63,BC,2.5
1001141,20141034,76,AB,3.5
1001141,20141035,59,BC,2.5
1001141,20141036,72,AB,3.5
1001141,20141037,66,B,3
1001141,20141038,54,C,2
1001141,20141039,93,A,4
1001141,20141040,71,B,3
1001141,20141041,52,C,2
1001141,20141042,76,AB,3.5
1001141,20141043,76,AB,3.5
1001141,20141044,59,BC,2.5
1001141,20141045,80,A,4
1001141,20141046,68,B,3
1001141,20141047,89,A,4
1001141,20141048,91,A,4
1001141,20141049,90,A,4
1001141,20141050,88,A,4
1001141,20141051,60,BC,2.5
1001141,20141052,77,AB,3.5
1001151,20151001,63,BC,2.5
1001151,20151002,53,C,2
1001151,20151003,47,D,1
1001151,20151004,86,A,4
1001151,20151005,46,D,1
1001151,20151006,64,BC,2.5
1001151,20151007,88,A,4
1001151,20151008,53,C,2
1001151,20151009,84,A,4
1001151,20151010,71,B,3
1001151,20151011,96,A,4
1001151,20151012,83,A,4
1001151,20151013,52,C,2
1001151,20151014,49,D,1
1001151,20151015,69,B,3
1001151,20151016,82,A,4
1001151,20151017,72,AB,3.5
1001151,20151018,42,D,1
1001151,20151019,93,A,4
1001151,20151020,74,AB,3.5
1001151,20151021,73,AB,3.5
1001151,20151022,68,B,3
1001151,20151023,98,A,4
1001151,20151024,62,BC,2.5
1001151,20151025,77,AB,3.5
1001151,20151026,97,A,4
1001151,20151027,84,A,4
1001151,20151028,52,C,2
1001151,20151029,53,C,2
1001151,20151030,81,A,4
1001151,20151031,56,C,2
1001151,20151032,83,A,4
1001151,20151033,71,B,3
1001151,20151034,45,D,1
1001151,20151035,98,A,4
1001151,20151036,86,A,4
1001151,20151037,73,AB,3.5
1001151,20151038,68,B,3
1001151,20151039,76,AB,3.5
1001151,20161001,79,AB,3.5
1001151,20161002,55,C,2
1001151,20161003,94,A,4
1001151,20161004,88,A,4
1001151,20161005,73,AB,3.5
1001151,20161006,61,BC,2.5
1001151,20161007,56,C,2
1001151,20161008,94,A,4
1001151,20161009,93,A,4
1001151,20161010,53,C,2
1001151,20161011,92,A,4
1001151,20161012,61,BC,2.5
1001151,20161013,44,D,1
1001151,20161014,49,D,1
1001151,20161015,58,BC,2.5
1001151,20161016,89,A,4
1001151,20161017,58,BC,2.5
1001151,20161041,51,C,2
1001151,20161042,84,A,4
1001151,20161043,57,C,2
1001151,20161044,79,AB,3.5
1001151,20161045,50,C,2
1001151,20161046,65,B,3
1001151,20161047,70,B,3
1001151,20161048,78,AB,3.5
1001151,20161049,57,C,2
1001151,20161050,96,A,4
1001151,20161051,55,C,2
1001151,20161052,99,A,4
1001151,20161053,79,AB,3.5
1001151,20161054,50,C,2
1001151,20161055,68,B,3
1001151,20161056,74,AB,3.5
1001151,20161057,69,B,3
1001151,20161058,99,A,4
1001151,20161059,76,AB,3.5
1001151,20161060,77,AB,3.5
1001151,20161061,42,D,1
1001151,20161062,57,C,2
1001151,20161063,83,A,4
1001151,20161064,59,BC,2.5
1001151,20161065,65,B,3
1001151,20161066,42,D,1
1001151,20161067,41,D,1
1001151,20161068,93,A,4
1001151,20161069,47,D,1
1001151,20161070,94,A,4
1001151,20161071,59,BC,2.5
1001151,20161072,52,C,2
1001151,20161073,46,D,1
1001151,20161074,94,A,4
1001151,20161075,45,D,1
1002141,20141001,62,BC,2.5
1002141,20141002,85,A,4
1002141,20141003,87,A,4
1002141,20141004,67,B,3
1002141,20141005,69,B,3
1002141,20141006,85,A,4
1002141,20141007,57,C,2
1002141,20141008,57,C,2
1002141,20141009,95,A,4
1002141,20141010,54,C,2
1002141,20141011,94,A,4
1002141,20141012,47,D,1
1002141,20141013,78,AB,3.5
1002141,20141014,93,A,4
1002141,20141015,64,BC,2.5
1002141,20141016,42,D,1
1002141,20141017,81,A,4
1002141,20141018,91,A,4
1002141,20141019,65,B,3
1002141,20141020,78,AB,3.5
1002141,20141021,77,AB,3.5
1002141,20141022,46,D,1
1002141,20141023,75,AB,3.5
1002141,20141024,86,A,4
1002141,20141025,96,A,4
1002141,20141026,95,A,4
1002141,20141027,77,AB,3.5
1002141,20141028,43,D,1
1002141,20141029,50,C,2
1002141,20141030,99,A,4
1002141,20141031,44,D,1
1002141,20141032,42,D,1
1002141,20141033,69,B,3
1002141,20141034,84,A,4
1002141,20141035,68,B,3
1002141,20141036,77,AB,3.5
1002141,20141037,51,C,2
1002141,20141038,41,D,1
1002141,20141039,69,B,3
1002141,20141040,60,BC,2.5
1002141,20141041,67,B,3
1002141,20141042,56,C,2
1002141,20141043,92,A,4
1002141,20141044,52,C,2
1002141,20141045,44,D,1
1002141,20141046,63,BC,2.5
1002141,20141047,78,AB,3.5
1002141,20141048,75,AB,3.5
1002141,20141049,41,D,1
1002141,20141050,49,D,1
1002141,20141051,50,C,2
1002141,20141052,85,A,4
1002151,20151001,59,BC,2.5
1002151,20151002,59,BC,2.5
1002151,20151003,49,D,1
1002151,20151004,74,AB,3.5
1002151,20151005,65,B,3
1002151,20151006,61,BC,2.5
1002151,20151007,97,A,4
1002151,20151008,62,BC,2.5
1002151,20151009,70,B,3
1002151,20151010,60,BC,2.5
1002151,20151011,54,C,2
1002151,20151012,93,A,4
1002151,20151013,71,B,3
1002151,20151014,94,A,4
1002151,20151015,89,A,4
1002151,20151016,49,D,1
1002151,20151017,53,C,2
1002151,20151018,64,BC,2.5
1002151,20151019,84,A,4
1002151,20151020,72,AB,3.5
1002151,20151021,100,A,4
1002151,20151022,48,D,1
1002151,20151023,58,BC,2.5
1002151,20151024,65,B,3
1002151,20151025,78,AB,3.5
1002151,20151026,92,A,4
1002151,20151027,95,A,4
1002151,20151028,78,AB,3.5
1002151,20151029,42,D,1
1002151,20151030,77,AB,3.5
1002151,20151031,91,A,4
1002151,20151032,66,B,3
1002151,20151033,90,A,4
1002151,20151034,55,C,2
1002151,20151035,62,BC,2.5
1002151,20151036,79,AB,3.5
1002151,20151037,86,A,4
1002151,20151038,96,A,4
1002151,20151039,54,C,2
1002151,20161001,52,C,2
1002151,20161002,54,C,2
1002151,20161003,89,A,4
1002151,20161004,73,AB,3.5
1002151,20161005,99,A,4
1002151,20161006,64,BC,2.5
1002151,20161007,66,B,3
1002151,20161008,74,AB,3.5
1002151,20161009,74,AB,3.5
1002151,20161010,86,A,4
1002151,20161011,58,BC,2.5
1002151,20161012,57,C,2
1002151,20161013,72,AB,3.5
1002151,20161014,58,BC,2.5
1002151,20161015,90,A,4
1002151,20161016,65,B,3
1002151,20161017,66,B,3
1002151,20161041,91,A,4
1002151,20161042,94,A,4
1002151,20161043,65,B,3
1002151,20161044,93,A,4
1002151,20161045,50,C,2
1002151,20161046,42,D,1
1002151,20161047,97,A,4
1002151,20161048,68,B,3
1002151,20161049,99,A,4
1002151,20161050,50,C,2
1002151,20161051,58,BC,2.5
1002151,20161052,62,BC,2.5
