1001141,20141016,1001141,2,2
1001151,20151003,1001151,2,2
1001161,20161007,1001161,2,2
1002141,20141015,1002141,3,0
1002151,20151012,1002151,3,0
1002161,20161018,1002161,3,0
1003141,20141007,1003141,4,0
1003151,20151002,1003151,4,0
1003161,20161018,1003161,4,0
1004141,20141001,1004141,2,0
1004151,20151003,1004151,2,0
1004161,20161001,1004161,2,0
1005141,20141004,1005141,4,2
1005151,20151008,1005151,4,2
1005161,20161008,1005161,4,2
1006141,20141004,1006141,2,0
1006151,20151017,1006151,2,0
1006161,20161006,1006161,2,0
1007141,20141013,1007141,4,0
1007151,20151019,1007151,4,0
1007161,20161012,1007161,4,0
1008142,20141016,1008142,4,0
1008152,20151005,1008152,4,0
1008162,20161005,1008162,4,0
1009142,20141017,1009142,3,0
1009152,20151001,1009152,3,0
1009162,20161011,1009162,3,0
1010142,20141007,1010142,3,0
1010152,20151012,1010152,3,0
1010162,20161007,1010162,3,0
1011142,20141005,1011142,3,0
1011152,20151016,1011152,3,0
1011162,20161008,1011162,3,0
1012142,20141004,1012142,4,2
1012152,20151017,1012152,4,2
1012162,20161014,1012162,4,2
1013142,20141012,1013142,2,0
1013152,20151001,1013152,2,0
1013162,20161003,1013162,2,0
1014142,20141008,1014142,2,0
1014152,20151009,1014152,2,0
1014162,20161003,1014162,2,0
1015141,20141010,1015141,2,2
1015151,20151001,1015151,2,2
1016141,20141001,1016141,5,0
1016151,20151009,1016151,5,0
1016161,20161002,1016161,5,0
1017141,20141013,1017141,4,0
1017151,20151019,1017151,4,0
1017161,20161010,1017161,4,0
1018141,20141008,1018141,2,0
1018151,20151019,1018151,2,0
1018161,20161010,1018161,2,0
1019141,20141016,1019141,4,0
1019151,20151008,1019151,4,0
1019161,20161019,1019161,4,0
1020141,20141006,1020141,2,0
1020151,20151008,1020151,2,0
1020161,20161012,1020161,2,0
1021141,20141013,1021141,2,0
1021151,20151019,1021151,2,0
1021161,20161009,1021161,2,0
1022142,20141011,1022142,2,0
1022152,20151005,1022152,2,0
1022162,20161004,1022162,2,0
1023142,20141004,1023142,4,0
1023152,20151009,1023152,4,0
1023162,20161009,1023162,4,0
1024142,20141012,1024142,4,2
1024152,20151005,1024152,4,2
1024162,20161018,1024162,4,2
1025142,20141004,1025142,5,0
1025152,20151015,1025152,5,0
1025162,20161002,1025162,5,0
1026142,20141014,1026142,2,0
1026152,20151006,1026152,2,0
1026162,20161018,1026162,2,0
1027142,20141002,1027142,2,0
1027152,20151003,1027152,2,0
1027162,20161007,1027162,2,0
1028142,20141002,1028142,2,0
1028152,20151001,1028152,2,0
1028162,20161012,1028162,2,0
1029141,20141013,1029141,4,0
1029151,20151017,1029151,4,0
1029161,20161016,1029161,4,0
1030141,20141010,1030141,2,0
1030151,20151012,1030151,2,0
1030161,20161005,1030161,2,0
1031141,20141017,1031141,2,0
1031151,20151009,1031151,2,0
1031161,20161005,1031161,2,0
1032141,20141014,1032141,4,2
1032151,20151004,1032151,4,2
1032161,20161004,1032161,4,2
1033141,20141002,1033141,3,0
1033151,20151003,1033151,3,0
1033161,20161005,1033161,3,0
1034141,20141001,1034141,3,2
1034151,20151003,1034151,3,2
